step,t_years,mean,std
704,0.704,1668.31,419.896
705,0.705,1668.68,420.289
706,0.706,1669.04,420.692
707,0.707,1669.4,421.082
708,0.708,1669.76,421.476
709,0.709,1670.11,421.868
710,0.71,1670.47,422.257
711,0.711,1670.83,422.662
712,0.712,1671.19,423.063
713,0.713,1671.54,423.457
714,0.714,1671.91,423.849
715,0.715,1672.27,424.242
716,0.716,1672.63,424.644
717,0.717,1672.99,425.047
718,0.718,1673.34,425.442
719,0.719,1673.7,425.848
720,0.72,1674.05,426.246
721,0.721,1674.41,426.647
722,0.722,1674.77,427.036
723,0.723,1675.13,427.439
724,0.724,1675.5,427.841
725,0.725,1675.86,428.234
726,0.726,1676.22,428.634
727,0.727,1676.59,429.034
728,0.728,1676.95,429.438
729,0.729,1677.31,429.833
730,0.73,1677.67,430.234
731,0.731,1678.03,430.623
732,0.732,1678.39,431.027
733,0.733,1678.74,431.416
734,0.734,1679.09,431.808
735,0.735,1679.46,432.205
736,0.736,1679.82,432.597
737,0.737,1680.19,433.005
738,0.738,1680.55,433.41
739,0.739,1680.91,433.808
740,0.74,1681.27,434.192
741,0.741,1681.62,434.582
742,0.742,1681.99,434.973
743,0.743,1682.36,435.372
744,0.744,1682.72,435.765
745,0.745,1683.08,436.164
746,0.746,1683.43,436.551
747,0.747,1683.79,436.944
748,0.748,1684.14,437.336
749,0.749,1684.49,437.729
750,0.75,1684.85,438.134
751,0.751,1685.21,438.521
752,0.752,1685.57,438.916
753,0.753,1685.93,439.324
754,0.754,1686.28,439.719
755,0.755,1686.64,440.111
756,0.756,1687,440.503
757,0.757,1687.38,440.908
758,0.758,1687.74,441.307
759,0.759,1688.1,441.704
760,0.76,1688.46,442.104
761,0.761,1688.81,442.495
762,0.762,1689.18,442.89
763,0.763,1689.53,443.289
764,0.764,1689.9,443.677
765,0.765,1690.26,444.074
766,0.766,1690.63,444.475
767,0.767,1691,444.877
768,0.768,1691.37,445.271
769,0.769,1691.73,445.664
770,0.77,1692.1,446.061
771,0.771,1692.46,446.464
772,0.772,1692.82,446.863
773,0.773,1693.18,447.262
774,0.774,1693.55,447.652
775,0.775,1693.91,448.055
776,0.776,1694.28,448.456
777,0.777,1694.65,448.858
778,0.778,1695.01,449.258
779,0.779,1695.37,449.665
780,0.78,1695.74,450.059
781,0.781,1696.1,450.455
782,0.782,1696.46,450.843
783,0.783,1696.83,451.237
784,0.784,1697.19,451.627
785,0.785,1697.55,452.013
786,0.786,1697.91,452.411
787,0.787,1698.26,452.792
788,0.788,1698.62,453.185
789,0.789,1698.98,453.581
790,0.79,1699.35,453.991
791,0.791,1699.7,454.383
792,0.792,1700.06,454.769
793,0.793,1700.42,455.162
794,0.794,1700.78,455.55
795,0.795,1701.15,455.945
796,0.796,1701.52,456.34
797,0.797,1701.88,456.739
798,0.798,1702.24,457.129
799,0.799,1702.6,457.523
800,0.8,1702.97,457.918
801,0.801,1703.34,458.312
802,0.802,1703.7,458.717
803,0.803,1704.07,459.113
804,0.804,1704.44,459.505
805,0.805,1704.8,459.9
806,0.806,1705.16,460.288
807,0.807,1705.53,460.677
808,0.808,1705.9,461.077
